Date,Month,Season,ADG_INT,GBD_5min,GrazeMinutes,GrazeHrs_5min,MeanTA,MoonitorID,Pasture,Year,Week,Deployment,RFID,Rest,Walk,Graze,Total,%Graze,%Rest,GrazeHrs_4sec,Eartag
9/18/2019,9,2,1,82.9952381,585.9666667,9.800139373,43.47094991,1,23E,2019,12,1, 0-2338524,11250,1393,8968,21611,41.5,52.1,10,764
9/18/2019,9,2,1,113.79,568.95,9.4825,43.57610316,7,23E,2019,12,1, 0-3223934,11428,1256,8899,21583,41.2,52.9,9.9,769
9/19/2019,9,2,1,142.2375,563.95,9.399166667,48.02426854,21,19N,2019,12,1, 0-2309577,12327,619,8661,21607,40.1,57.1,9.6,1153
9/19/2019,9,2,1,152.2375,608.95,10.1490492,25.49467537,22,19N,2019,12,1, 0-2338641,12035,557,9022,21614,41.7,55.7,10,242
9/19/2019,9,2,1,124.1966667,630.9833333,10.53822155,31.05196858,23,19N,2019,12,1, 0-2310363,11131,679,9802,21612,45.4,51.5,10.9,1037
9/19/2019,9,2,1,145.2416667,575.9666667,9.599444444,44.33917369,8,22W,2019,12,1, 0-2309508,12456,570,8606,21632,39.8,57.6,9.5,781
9/19/2019,9,2,1,110.1933333,550.9666667,9.163792606,35.89459057,9,22W,2019,12,1, 0-3213490,12973,487,8184,21644,37.8,59.9,9.1,664
9/19/2019,9,2,1,193.6555556,595.9666667,9.932777778,43.4653068,11,22W,2019,12,1, 0-3213439,12232,493,8874,21599,41.1,56.6,9.9,796
9/19/2019,9,2,1,163.4875,658.95,11.0593007,27.79657567,1,23E,2019,12,1, 0-2338524,10596,901,10098,21595,46.8,49.1,11.2,764
9/19/2019,9,2,1,109.825,658.95,10.9825,28.26153191,7,23E,2019,12,1, 0-3223934,11233,799,9585,21617,44.3,52,10.6,769
9/20/2019,9,2,1,98.65555556,586.9333333,9.761997713,46.49244435,21,19N,2019,13,1, 0-2309577,11582,921,9086,21589,42.1,53.6,10.1,1153
9/20/2019,9,2,1,106.9916667,646.95,10.76020744,31.59583785,22,19N,2019,13,1, 0-2338641,10435,1320,9849,21604,45.6,48.3,10.9,242
9/20/2019,9,2,1,118.6555556,728.95,12.12404856,40.03848782,23,19N,2019,13,1, 0-2310363,9434,900,11276,21610,52.2,43.7,12.5,1037
9/20/2019,9,2,1,101.1933333,510.9666667,8.545783972,39.90995634,8,22W,2019,13,1, 0-2309508,12519,734,8341,21594,38.6,58,9.3,781
9/20/2019,9,2,1,120.7458333,487.9833333,8.150034795,25.10713398,9,22W,2019,13,1, 0-3213490,13238,723,7616,21577,35.3,61.4,8.5,664
9/20/2019,9,2,1,248.925,497.85,8.2975,35.01793941,11,22W,2019,13,1, 0-3213439,13452,643,7528,21623,34.8,62.2,8.4,796
9/20/2019,9,2,1,165.2416667,650.9666667,10.84944444,41.72677788,1,23E,2019,13,1, 0-2338524,11065,847,9695,21607,44.9,51.2,10.8,764
9/20/2019,9,2,1,150.9875,603.95,10.06583333,27.96988253,7,23E,2019,13,1, 0-3223934,12083,685,8865,21633,41,55.9,9.8,769
9/21/2019,9,2,1,283.9916667,567.9833333,9.486041684,45.65032776,21,19N,2019,13,1, 0-2309577,12549,451,8635,21635,39.9,58,9.6,1153
9/21/2019,9,2,1,116.1933333,580.9666667,9.682777778,34.09129693,22,19N,2019,13,1, 0-2338641,12333,406,8877,21616,41.1,57.1,9.9,242
9/21/2019,9,2,1,65.59666667,675.9666667,11.28950024,38.01708558,23,19N,2019,13,1, 0-2310363,10589,388,10620,21597,49.2,49,11.8,1037
9/21/2019,9,2,1,126.1933333,640.9666667,10.64581315,42.25932201,8,22W,2019,13,1, 0-2309508,11115,913,9580,21608,44.3,51.4,10.6,781
9/21/2019,9,2,1,150.9916667,618.9666667,10.31599171,38.64891011,9,22W,2019,13,1, 0-3213490,11836,638,9163,21637,42.3,54.7,10.2,664
9/21/2019,9,2,1,152.7416667,610.9666667,10.18277778,37.68012826,11,22W,2019,13,1, 0-3213439,11911,600,9101,21612,42.1,55.1,10.1,796
9/21/2019,9,2,1,211.9888889,650.9666667,10.84944444,41.59841351,1,23E,2019,13,1, 0-2338524,11257,654,9718,21629,44.9,52,10.8,764
9/21/2019,9,2,1,205.3222222,615.9666667,10.26611111,36.52350695,7,23E,2019,13,1, 0-3223934,11790,544,9270,21604,42.9,54.6,10.3,769
9/22/2019,9,2,1,183.6555556,545.9666667,9.099444444,39.19305199,21,19N,2019,13,1, 0-2309577,12593,566,8445,21604,39.1,58.3,9.4,1153
9/22/2019,9,2,1,95.49722222,572.9833333,9.569548022,41.40595228,22,19N,2019,13,1, 0-2338641,12410,604,8598,21612,39.8,57.4,9.5,242
9/22/2019,9,2,1,80.99444444,743.95,12.39916667,46.51936988,23,19N,2019,13,1, 0-2310363,9605,614,11407,21626,52.7,44.4,12.7,1037
9/22/2019,9,2,1,109.1966667,545.9833333,9.099722222,50.00596001,8,22W,2019,13,1, 0-2309508,12323,1228,8079,21630,37.4,57,9,781
9/22/2019,9,2,1,270.4833333,545.9666667,9.099444444,24.62819135,9,22W,2019,13,1, 0-3213490,13061,516,8032,21609,37.2,60.4,8.9,664
9/22/2019,9,2,1,272.9833333,555.9666667,9.266111111,34.78098488,11,22W,2019,13,1, 0-3213439,12676,575,8355,21606,38.7,58.7,9.3,796
9/22/2019,9,2,1,88.24583333,705.9666667,11.76611111,49.97768228,1,23E,2019,13,1, 0-2338524,10202,654,10757,21613,49.8,47.2,11.9,764
9/22/2019,9,2,1,117.79,583.95,9.7325,37.26267031,7,23E,2019,13,1, 0-3223934,12362,603,8647,21612,40,57.2,9.6,769
9/23/2019,9,2,1,142.7416667,570.9666667,9.516111111,45.33430529,21,19N,2019,13,1, 0-2309577,12395,577,8631,21603,40,57.4,9.6,1153
9/23/2019,9,2,1,147.2375,593.95,9.899166667,34.49947646,22,19N,2019,13,1, 0-2338641,12110,572,8929,21611,41.3,56,9.9,242
9/23/2019,9,2,1,120.1933333,600.9666667,10.01611111,34.12901435,23,19N,2019,13,1, 0-2310363,10714,490,10407,21611,48.2,49.6,11.6,1037
9/23/2019,9,2,1,112.1933333,565.9666667,9.432777778,37.20392821,8,22W,2019,13,1, 0-2309508,11762,1208,8611,21581,39.9,54.5,9.6,781
9/23/2019,9,2,1,146.4916667,595.9666667,9.932777778,35.84261042,9,22W,2019,13,1, 0-3213490,11916,740,8966,21622,41.5,55.1,10,664
9/23/2019,9,2,1,272.9833333,545.9666667,9.099444444,40.73932118,11,22W,2019,13,1, 0-3213439,12583,749,8283,21615,38.3,58.2,9.2,796
9/23/2019,9,2,1,91.99285714,643.95,10.88366197,47.17247863,1,23E,2019,13,1, 0-2338524,11007,681,9922,21610,45.9,50.9,11,764
9/23/2019,9,2,1,157.2375,623.95,10.39916667,36.98123921,7,23E,2019,13,1, 0-3223934,11971,602,9033,21606,41.8,55.4,10,769
9/24/2019,9,2,1,176.3166667,533.95,8.899166667,35.20691268,21,19N,2019,13,1, 0-2309577,12767,667,8194,21628,37.9,59,9.1,1153
9/24/2019,9,2,1,139.7375,553.95,9.2325,29.55128666,22,19N,2019,13,1, 0-2338641,12559,679,8342,21580,38.7,58.2,9.3,242
9/24/2019,9,2,1,133.4875,543.95,9.065833333,30.34889334,23,19N,2019,13,1, 0-2310363,11975,624,9014,21613,41.7,55.4,10,1037
9/24/2019,9,2,1,132.7416667,560.9666667,9.330114693,53.5532667,8,22W,2019,13,1, 0-2309508,11403,1557,8662,21622,40.1,52.7,9.6,781
9/24/2019,9,2,1,166.9888889,500.9666667,8.349444444,31.39531266,9,22W,2019,13,1, 0-3213490,13262,823,7525,21610,34.8,61.4,8.4,664
9/24/2019,9,2,1,275.4833333,550.9666667,9.182777778,33.77504993,11,22W,2019,13,1, 0-3213439,12502,803,8306,21611,38.4,57.9,9.2,796
9/24/2019,9,2,1,194.3277778,587.9833333,9.799722222,34.74008449,1,23E,2019,13,1, 0-2338524,12113,553,8917,21583,41.3,56.1,9.9,764
9/24/2019,9,2,1,209.65,633.95,10.56583333,31.70920661,7,23E,2019,13,1, 0-3223934,11900,396,9328,21624,43.1,55,10.4,769
